,year,iso,country,total,perc_dir,direct,indirect,rgdpe,pop,gdpcap
5395,2015,PRY,Paraguay,10.7533409,29.37702978,0.031590122,0.075943288,78029.14844,6.688746,11665.73651
5475,2015,ROU,Romania,27.9931594,53.7570807,0.150483053,0.129448541,439606.8125,19.925175,22062.88339
5555,2015,RWA,Rwanda,15.1755477,40.56419704,0.061558391,0.090197086,21442.20703,11.369071,1886.012237
5635,2015,SDN,Sudan,6.0233112,10.81967213,0.006517025,0.053716087,157643.4375,38.90295,4052.223225
5675,2015,SEN,Senegal,15.2909397,28.89250486,0.044179355,0.108730042,43040.23828,14.578459,2952.317408
5715,2015,SGP,Singapore,13.1415961,52.73445432,0.06930149,0.062114471,451476.4375,5.592152,80733.93525
5755,2015,SLE,Sierra Leone,10.0401699,41.30133826,0.041467246,0.058888122,12040.40918,7.171914,1678.82788
5795,2015,SLV,El Salvador,16.7528565,35.77599316,0.059935008,0.107593557,48471.03906,6.325124,7663.255149
5915,2015,SUR,Suriname,17.6438222,44.73319473,0.078926454,0.097511769,8937.576172,0.559143,15984.41932
5955,2015,SVK,Slovakia,32.883803,64.64211548,0.212567859,0.116270158,170226.1406,5.435611,31316.83644
5995,2015,SVN,Slovenia,37.6155535,60.75783192,0.228543948,0.147611587,68875.17969,2.071199,33253.77218
6035,2015,SWE,Sweden,43.2428755,70.87038721,0.306463933,0.124499501,511993.375,9.76495,52431.74568
6075,2015,SWZ,Eswatini,26.2906414,28.23700493,0.074236897,0.188669517,10184.07031,1.104044,9224.333734
6115,2015,SYC,Seychelles,29.5986333,33.7357814,0.099853302,0.170067305,2446.976318,0.094978,25763.61177
6235,2015,TGO,Togo,14.0483653,21.86282309,0.030713692,0.10976996,13353.82031,7.323158,1823.505694
6275,2015,THA,Thailand,18.6862573,41.80218656,0.078112642,0.108749932,1108115.875,68.714511,16126.37358
6435,2015,TUN,Tunisia,30.2438333,60.71990224,0.18364026,0.118798073,118650.4922,11.179949,10612.79369
6475,2015,TUR,Turkey,24.9569115,50.40602039,0.125797859,0.123771256,1986634.5,78.529409,25297.96831
6515,2015,TZA,Tanzania,10.4924955,39.32456973,0.041261287,0.063663668,116010.625,50.04145,2318.290637
6555,2015,UGA,Uganda,10.0025158,35.65290296,0.035661873,0.064363286,73060.74219,38.225453,1911.31135
6595,2015,UKR,Ukraine,34.4514429,49.78982811,0.171533142,0.172981287,471817.5,44.921639,10503.123
6635,2015,URY,Uruguay,26.5734442,59.69562769,0.158631843,0.107102599,72097.3125,3.412009,21130.45789
6675,2015,USA,United States,26.6397981,83.34913304,0.222040407,0.044357573,18905122,320.87831,58916.79621
6715,2015,UZB,Uzbekistan,24.6014071,51.72313762,0.127246196,0.118763117,315011.25,30.929557,10184.7967
6755,2015,VCT,Saint Vincent and the Grenadines,23.5892157,28.79763933,0.067931373,0.167960784,1275.606445,0.109148,11686.94292
6795,2015,VEN,Venezuela,20.1878656,23.65469718,0.047753785,0.154124871,152681.2813,30.081829,5075.531852
6835,2015,VNM,Vietnam,14.5627597,36.24338624,0.052780372,0.092847225,561821.1875,92.677076,6062.137605
6915,2015,ZAF,South Africa,29.4515618,58.5133677,0.172331006,0.122184611,717051.875,55.386367,12946.36052
6995,2015,ZWE,Zimbabwe,17.7728798,39.34611048,0.069929369,0.107799429,40141.61719,13.814629,2905.732553
