,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
12,False,/h37N1O8LUyGW1o2dIWufm9jzpk7.jpg,"[16, 10751, 35]",9982,en,Chicken Little,"When the sky really is falling and sanity has flown the coop, who will rise to save the day? Together with his hysterical band of misfit friends, Chicken Little must hatch a plan to save the planet from alien invasion and prove that the world's biggest hero is a little chicken.",26.962,/1wg65q3daTE8rGfaUhBxLdXk6NL.jpg,2005-11-04,Chicken Little,False,5.9,3094
13,False,/zgsA31vmiS0d44KDQQ2Fpj7HLLi.jpg,"[35, 10749]",9522,en,Wedding Crashers,"John and his buddy, Jeremy are emotional criminals who know how to use a woman's hopes and dreams for their own carnal gain. Their modus operandi: crashing weddings. Normally, they meet guests who want to toast the romantic day with a random hook-up. But when John meets Claire, he discovers what true love – and heartache – feels like.",12.953,/lFM3lk2zVzC1YFnKm0r6LbFPyRu.jpg,2005-07-13,Wedding Crashers,False,6.5,3508
14,False,/4jgKGtOARAITsKbuNgPgZ9SSds7.jpg,"[16, 35, 10751, 878]",9928,en,Robots,"Rodney Copperbottom is a young robot inventor who dreams of making the world a better place, until the evil Ratchet takes over Big Weld Industries. Now, Rodney's dreams – and those of his friends – are in danger of becoming obsolete.",27.328,/bS94Dt0FKW1463UQyv78MVOw6Pf.jpg,2005-03-10,Robots,False,6.4,3642
15,False,/tIG8FwHRiHLOlWJdizp2oxdkSL2.jpg,"[14, 28, 27]",561,en,Constantine,"John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles.",48.184,/vPYgvd2MwHlxTamAOjwVQp4qs1W.jpg,2005-02-08,Constantine,False,7.0,5274
16,False,/sA9xfeR4bSiKi3WTZvOHhfVkK8T.jpg,"[53, 18, 9648]",9315,en,Flightplan,"Flying at 40,000 feet in a state-of-the art aircraft that she helped design, Kyle Pratt's 6-year-old daughter Julia vanishes without a trace. Or did she? No one on the plane believes Julia was ever onboard. And now Kyle, desperate and alone, can only count on her own wits to unravel the mystery and save her daughter.",15.419,/hlZ8tWZzMYWOwFmExSBohZHXcrf.jpg,2005-09-22,Flightplan,False,6.4,1976
17,False,/kP8rK9dGS1pr0HrnmXfIi2heWjo.jpg,"[18, 28, 12, 36, 10752]",1495,en,Kingdom of Heaven,"After his wife dies, a blacksmith named Balian is thrust into royalty, political intrigue and bloody holy wars during the Crusades.",31.24,/uk55nBEFIQFveIiy9jvLGiVtk4h.jpg,2005-05-03,Kingdom of Heaven,False,6.8,3115
18,False,/fTguJk7abk8s9A4AXNGdVdtWBr1.jpg,[35],7552,en,Fun with Dick and Jane,"After Dick Harper loses his job at Globodyne in an Enron-esque collapse, he and his wife, Jane, turn to crime in order to handle the massive debt they now face. Two intelligent people, Dick and Jane actually get pretty good at robbing people and even enjoy it -- but they have second thoughts when they're reminded that crime can hurt innocent people. When the couple hears that Globodyne boss Jack McCallister actually swindled the company, they plot revenge.",14.598,/1NBVGBi8Z6MhJBAJ5SuRMqP7o3T.jpg,2005-12-21,Fun with Dick and Jane,False,6.2,1853
19,False,/2OQkSOyC5HuCNpq0XO5EEPEdazX.jpg,"[35, 10751]",10022,en,The Pacifier,Navy SEAL Shane Wolfe is handed a new assignment: Protect the five Plummer kids from enemies of their recently deceased father -- a government scientist whose top-secret experiment remains hidden in the kids' house.,24.225,/brkyQKNcaVNWGsCBCW5bKy9zVeW.jpg,2005-03-04,The Pacifier,False,6.1,2443
0,False,/ghgogVFRi60o0sVsRWgpG2r4Sy9.jpg,"[28, 53, 80]",9335,en,Transporter 2,"Professional driver Frank Martin is living in Miami, where he is temporarily filling in for a friend as the chauffeur for a government narcotics control policymaker and his family. The young boy in the family is targeted for kidnapping, and Frank immediately becomes involved in protecting the child and exposing the kidnappers.",26.45,/cdm17vK8PxHfTi7ayZf6WKbOgUO.jpg,2005-08-03,Transporter 2,False,6.3,2738
1,False,/rBMTI89Y5GkiKIP9XB0PMkUag9w.jpg,[35],2800,en,Rumor Has It...,"Sarah Huttinger's return home with her fiance convinces her that the sedate, proper, country-club lifestyle of her family isn't for her – and that maybe the Huttinger family isn't even hers – as she uncovers secrets that suggest the Huttingers are neither sedate nor proper.",10.818,/nVUJANyVbWXpyHZsKbyChiEsR36.jpg,2005-12-22,Rumor Has It...,False,5.6,905
