,iso,country,year,rgdpe,pop,gdpcap,value,total,perc_dir,direct,indirect,continent
115,TGO,Togo,2015,13353.82031,7.323158,1823.505694,18.4,0.140483653,21.86282309,0.030713692,0.10976996,Africa
116,THA,Thailand,2015,1108115.875,68.714511,16126.37358,38.1,0.186862573,41.80218656,0.078112642,0.108749932,Asia
117,TJK,Tajikistan,2015,23687.06641,8.454028,2801.867513,27.5,0.22,,,,Asia
119,TUN,Tunisia,2015,118650.4922,11.179949,10612.79369,33.5,0.302438333,60.71990224,0.18364026,0.118798073,Africa
120,TUR,Turkey,2015,1986634.5,78.529409,25297.96831,37.8,0.249569115,50.40602039,0.125797859,0.123771256,Asia
121,UGA,Uganda,2015,73060.74219,38.225453,1911.31135,27.6,0.100025158,35.65290296,0.035661873,0.064363286,Africa
122,UKR,Ukraine,2015,471817.5,44.921639,10503.123,36.5,0.344514429,49.78982811,0.171533142,0.172981287,Europe
123,URY,Uruguay,2015,72097.3125,3.412009,21130.45789,35.8,0.265734442,59.69562769,0.158631843,0.107102599,South America
124,UZB,Uzbekistan,2015,315011.25,30.929557,10184.7967,25.9,0.246014071,51.72313762,0.127246196,0.118763117,Asia
126,ZAF,South Africa,2015,717051.875,55.386367,12946.36052,37.4,0.294515618,58.5133677,0.172331006,0.122184611,Africa
127,ZMB,Zambia,2015,51722.64844,15.879361,3257.224799,24.6,0.144164335,,,,Africa
128,ZWE,Zimbabwe,2015,40141.61719,13.814629,2905.732553,22.5,0.177728798,39.34611048,0.069929369,0.107799429,Africa
